iter lambda ESS
0 0.2 99.0
1 0.2087916374206543 99.00000684362936
2 0.2197615480206195 99.00000684362936
3 0.2315946788973658 99.00000684362936
4 0.2418561951931805 99.00000684362936
5 0.2540407473234559 99.00000684362936
6 0.2688098122888865 99.00000684362936
7 0.2804969374422484 99.00001024410182
8 0.2924397539894683 99.00001024410182
9 0.3064721837760665 99.00001024410182
10 0.3211044939379204 99.00001024410182
11 0.3345197205018345 99.00001024410182
12 0.3484089088360587 99.00001024410182
13 0.3645058017894648 99.00001024410182
14 0.3791876234458824 99.00001024410182
15 0.3940118859632816 99.00001024410182
16 0.41048463920718 99.00001024410182
17 0.4270050524885225 99.00001024410182
18 0.4423885921781646 99.00001024410182
19 0.4597801806630329 99.00001024410182
20 0.4748065796657677 99.00001024410182
21 0.490963183246654 99.00001024410182
22 0.5082711224210267 99.00001024410182
23 0.5259648102562369 99.00001024410182
24 0.5438778374077327 99.00001024410182
25 0.5596752240709616 99.00001024410182
26 0.5751286216648248 99.00001024410182
27 0.5922856374564232 99.00001024410182
28 0.6103478048942024 99.00001024410182
29 0.6286857711934294 99.00001024410182
30 0.6456502551787928 99.00001024410182
31 0.6611315301029534 99.00001024410182
32 0.678340664100382 99.00001024410182
33 0.6969342017427498 99.00001024410182
34 0.7123615461732702 99.00001024410182
35 0.7289093652229819 99.00001024410182
36 0.7447292075926722 99.00001024410182
37 0.7631925783333307 99.00001024410182
38 0.7782779357597636 99.00001024410182
39 0.7954483619210527 99.00001024410182
40 0.8127853195960235 99.00001024410182
41 0.8309008880741396 99.00001024410182
42 0.8463875346466954 99.00001024410182
43 0.8625446074805347 99.00001024410182
44 0.8771968015451239 99.00001024410182
45 0.8937263076848041 99.00001024410182
